Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240747_2	(1.0, 32.89374737006941)	(2.0, 17.0422590429405)	(3.0, 8.578881167795965)	(4.0, 4.566216087087311)	(5.0, 3.10793386321352)	(6.0, 2.181766531495948)	(7.0, 1.6168741974422953)	(8.0, 1.2825061857188826)	(9.0, 1.0934641588762486)	('>10', 9.69186718571558)	('>50', 2.0426168267697395)	('>100', 3.1477771054373576)	('>500', 1.0065703209930206)	('>1k', 2.0136218563824517)	('>5k', 1.1124362737678126)	('>10k+', 8.621461826294084)
SRR14240748_1	(1.0, 18.24397186077719)	(2.0, 13.593328976315794)	(3.0, 7.971521310684887)	(4.0, 4.888875870851797)	(5.0, 3.240997113694714)	(6.0, 2.4166563827531498)	(7.0, 1.9476274865760128)	(8.0, 1.4985202023871131)	(9.0, 1.2615906005479742)	('>10', 12.347768903403589)	('>50', 2.940395264606473)	('>100', 4.284522409619014)	('>500', 1.3196554010947412)	('>1k', 3.1477068818802647)	('>5k', 1.6769591178799514)	('>10k+', 19.219902216927082)
SRR14240748_2	(1.0, 23.752961951183547)	(2.0, 15.078310885532058)	(3.0, 8.591220502062711)	(4.0, 5.020335926433483)	(5.0, 3.239365359184091)	(6.0, 2.3064866818550196)	(7.0, 1.7715354421253222)	(8.0, 1.3141594565839818)	(9.0, 1.1159818592105801)	('>10', 10.456959174034605)	('>50', 2.2050869784045446)	('>100', 3.386594599196144)	('>500', 1.1173327843000318)	('>1k', 2.8448529906660536)	('>5k', 1.5415113156577143)	('>10k+', 16.2573040935701)
SRR14240749_1	(1.0, 15.589899133623744)	(2.0, 14.752965036947078)	(3.0, 10.234587103732334)	(4.0, 6.616650897474156)	(5.0, 4.550986445547534)	(6.0, 3.145998213798186)	(7.0, 2.497853379336885)	(8.0, 2.0100429174606473)	(9.0, 1.587818631204832)	('>10', 15.034207112986534)	('>50', 3.049941530715459)	('>100', 4.42089546168419)	('>500', 1.261300801686332)	('>1k', 2.351492845636629)	('>5k', 0.9721207021439476)	('>10k+', 11.923239786021416)
SRR14240749_2	(1.0, 21.253217093653348)	(2.0, 17.84195182874271)	(3.0, 11.95951332914782)	(4.0, 7.072327398214499)	(5.0, 4.407205975011457)	(6.0, 2.9637257172107994)	(7.0, 2.130430348216793)	(8.0, 1.6319329529895912)	(9.0, 1.3178555348795886)	('>10', 10.301589221744676)	('>50', 2.085769953207399)	('>100', 2.9323648180211785)	('>500', 0.9438710461610492)	('>1k', 1.8194754810486131)	('>5k', 1.1856695958438186)	('>10k+', 10.153099705906522)
SRR14240750_1	(1.0, 16.464000949414405)	(2.0, 14.704345260738133)	(3.0, 9.854795034330497)	(4.0, 6.120927347179683)	(5.0, 4.01566215815258)	(6.0, 2.9224782978025012)	(7.0, 2.095034759768046)	(8.0, 1.7690332672052986)	(9.0, 1.4441746561343645)	('>10', 13.544422555342555)	('>50', 2.7487502992624355)	('>100', 4.070715653550985)	('>500', 1.2717108003917292)	('>1k', 2.7854009570404714)	('>5k', 1.4555856886098621)	('>10k+', 14.73296231507663)
SRR14240750_2	(1.0, 22.20652095884926)	(2.0, 17.57787370838034)	(3.0, 11.029266368327262)	(4.0, 6.434794535072171)	(5.0, 4.04799683283137)	(6.0, 2.6316722403408748)	(7.0, 1.9314255944269105)	(8.0, 1.412780043479253)	(9.0, 1.121591930828305)	('>10', 9.556615196850169)	('>50', 1.7746321116694157)	('>100', 2.9408130865182023)	('>500', 1.018640469584126)	('>1k', 2.5266330988658803)	('>5k', 1.573235699098367)	('>10k+', 12.215508124877836)
SRR14240751_1	(1.0, 4.2005972517838215)	(2.0, 6.20423095254777)	(3.0, 7.790745142765678)	(4.0, 7.588696047047527)	(5.0, 6.292696127044518)	(6.0, 4.605448418631466)	(7.0, 3.386768175970287)	(8.0, 2.428302003889938)	(9.0, 1.8349342617266406)	('>10', 13.31729121813112)	('>50', 2.4234377992961353)	('>100', 3.690474902146691)	('>500', 1.2875680843567006)	('>1k', 3.28370576040882)	('>5k', 1.8784305516243882)	('>10k+', 29.78667330262853)
SRR14240751_2	(1.0, 10.452006548200998)	(2.0, 7.939433582188057)	(3.0, 9.525966667073158)	(4.0, 9.045844993460465)	(5.0, 7.147868801096867)	(6.0, 5.145727391518311)	(7.0, 3.52168446143991)	(8.0, 2.399902972196007)	(9.0, 1.6737281507815622)	('>10', 9.434666973706777)	('>50', 1.578299620075151)	('>100', 2.785143983607613)	('>500', 1.1400913019187382)	('>1k', 3.0986834041084776)	('>5k', 1.9611881483040692)	('>10k+', 23.149763000323777)
SRR14240752_1	(1.0, 19.81015121482705)	(2.0, 15.332360031746331)	(3.0, 9.195518891914702)	(4.0, 5.472462188070607)	(5.0, 3.454990973499216)	(6.0, 2.4259472344890862)	(7.0, 1.8384660652681406)	(8.0, 1.526145164106565)	(9.0, 1.2069342118970336)	('>10', 11.172153666209278)	('>50', 2.448699544495784)	('>100', 3.8055497824951905)	('>500', 1.2806599446050406)	('>1k', 2.8948052442131993)	('>5k', 1.5345930008876338)	('>10k+', 16.600562841275085)
SRR14240752_2	(1.0, 26.092994429508582)	(2.0, 16.982664333936057)	(3.0, 9.653345365314305)	(4.0, 5.2446314173872235)	(5.0, 3.195807057358477)	(6.0, 2.1940918011048987)	(7.0, 1.5809178169895706)	(8.0, 1.177827157170398)	(9.0, 1.0097834720517955)	('>10', 8.189915469232558)	('>50', 1.7345088224725822)	('>100', 2.9795035935125567)	('>500', 1.0232583691822208)	('>1k', 2.710286987663868)	('>5k', 1.5742678155639838)	('>10k+', 14.656196091550989)
SRR14240753_1	(1.0, 28.589304785839282)	(2.0, 13.048211396954908)	(3.0, 7.299147825132306)	(4.0, 4.4441737787586995)	(5.0, 3.076022272404631)	(6.0, 2.289648376049376)	(7.0, 1.8837191736125458)	(8.0, 1.5283383148031207)	(9.0, 1.2529138790941645)	('>10', 12.25122793615154)	('>50', 2.678583884941663)	('>100', 3.8159464084253636)	('>500', 1.1434692976031557)	('>1k', 2.6534456392500436)	('>5k', 1.2793043047884807)	('>10k+', 12.766542726190686)
SRR14240753_2	(1.0, 37.72275506145591)	(2.0, 14.014588486348892)	(3.0, 7.335239366733916)	(4.0, 4.170120908294024)	(5.0, 2.7470316164310895)	(6.0, 1.9648224550054574)	(7.0, 1.5057471642309115)	(8.0, 1.1504719844274305)	(9.0, 0.9406059730709251)	('>10', 8.384594058276344)	('>50', 1.8167687975572313)	('>100', 2.7691461566883233)	('>500', 0.9988993212327404)	('>1k', 2.5026537806623037)	('>5k', 1.2500770668539598)	('>10k+', 10.726477802730594)
SRR14240754_1	(1.0, 28.37860914752207)	(2.0, 10.80413364801372)	(3.0, 5.975252064296221)	(4.0, 3.4142439487734295)	(5.0, 2.236552101138043)	(6.0, 1.600897262155438)	(7.0, 1.2005029608824387)	(8.0, 0.957187890855038)	(9.0, 0.8344036476771833)	('>10', 8.308924697115236)	('>50', 1.952547906044388)	('>100', 3.292778275411408)	('>500', 1.2229721847942863)	('>1k', 3.4428132022624856)	('>5k', 1.9990300445614222)	('>10k+', 24.379151018497293)
SRR14240754_2	(1.0, 39.483997147431445)	(2.0, 10.816804024778115)	(3.0, 5.6739626353862205)	(4.0, 3.1468130917217216)	(5.0, 1.9136496916099441)	(6.0, 1.34585766571616)	(7.0, 1.0209994337996176)	(8.0, 0.7945954798867734)	(9.0, 0.6323374488640945)	('>10', 6.71714090958941)	('>50', 1.6211255974030032)	('>100', 2.4332645495112644)	('>500', 0.9633982712245726)	('>1k', 3.1840784257516757)	('>5k', 1.81954140490088)	('>10k+', 18.432434222425183)
SRR14240755_1	(1.0, 25.189135182224682)	(2.0, 14.203702625343176)	(3.0, 8.648348290811574)	(4.0, 5.213756303885423)	(5.0, 3.5115082543446112)	(6.0, 2.4832841622732706)	(7.0, 1.9570519364981696)	(8.0, 1.5376119214798663)	(9.0, 1.2760273084533469)	('>10', 12.321202493864309)	('>50', 2.8453311913169665)	('>100', 4.0742616361791955)	('>500', 1.3149213163055289)	('>1k', 2.7005159507954293)	('>5k', 0.9901206924074799)	('>10k+', 11.73322073381684)
SRR14240755_2	(1.0, 32.1983560951856)	(2.0, 15.617017106055513)	(3.0, 9.047859342927582)	(4.0, 5.2366525533827275)	(5.0, 3.2237190720822864)	(6.0, 2.1362669074024514)	(7.0, 1.6636374352519065)	(8.0, 1.223752080086179)	(9.0, 1.0672196274575079)	('>10', 9.617803960333834)	('>50', 2.149012188983464)	('>100', 3.391690947129521)	('>500', 1.0639911504355706)	('>1k', 2.0336136138416543)	('>5k', 1.2023058221493383)	('>10k+', 9.12710209729464)
SRR14240756_1	(1.0, 32.597954440583486)	(2.0, 10.841175872736475)	(3.0, 5.670402182212615)	(4.0, 3.4495865291690424)	(5.0, 2.2414144046438573)	(6.0, 1.6816600048041566)	(7.0, 1.3023929817130282)	(8.0, 1.075060472497404)	(9.0, 0.917161056476203)	('>10', 9.956487840641724)	('>50', 2.5476902693878203)	('>100', 3.8977084419061976)	('>500', 1.1124055622830051)	('>1k', 2.794925934079125)	('>5k', 1.900764730840791)	('>10k+', 18.013209276025194)
SRR14240756_2	(1.0, 42.12387484761225)	(2.0, 11.13828497702023)	(3.0, 5.348045622499166)	(4.0, 3.095011342798901)	(5.0, 2.081082772139393)	(6.0, 1.416443258328002)	(7.0, 1.133374043324747)	(8.0, 0.9490386945748981)	(9.0, 0.7733505741310933)	('>10', 8.354253884990207)	('>50', 2.041736845310872)	('>100', 2.7046500745305546)	('>500', 0.8485009565715734)	('>1k', 2.5780448545034322)	('>5k', 1.4786065962871389)	('>10k+', 13.935700655377556)
